molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"screen_liperp.csv:1915",1,0,0,0,0,3,0,-1,286.332,2.930,573.280,90.737,124.627,357.917,0.000,975.796,1.000,4.000,0.0087986,0.0069774,0.8299221,34.389,10.840,15.120,9.124,3.279,-5.794,-5.394,-5.991,651.720,-0.824,311.438,-2.268,8.602,1.326,0,0.371,3,96.513,0.000,0.000,62.357,3,0,16,0,16,0,22,1,0.002
"screen_liperp.csv:247",0,0,0,0,0,2,1,0,301.729,3.735,533.095,133.010,90.285,238.314,71.486,908.295,0.000,4.000,0.0153569,0.0000000,0.8508336,31.188,9.431,12.713,6.761,3.200,-4.211,-4.464,-5.082,1379.510,-0.213,1725.747,-2.152,9.045,1.179,1,0.100,3,100.000,0.000,0.000,71.572,4,0,14,0,14,0,21,0,0.131
"screen_liperp.csv:2409",0,0,0,0,0,3,0,-2,287.320,2.839,584.815,94.209,146.742,343.865,0.000,975.593,1.000,5.000,0.0082637,0.0085497,0.8134397,34.247,10.859,15.632,10.191,2.691,-5.549,-5.035,-6.191,402.114,-1.096,184.798,-2.725,8.773,1.411,1,0.171,3,89.317,0.000,0.000,76.262,4,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:2299",0,0,0,0,0,3,0,-2,292.355,7.565,538.186,60.353,183.234,243.878,50.721,918.661,2.000,4.000,0.0622915,0.0105110,0.8491857,31.014,10.529,16.534,10.145,2.418,-5.302,-5.388,-5.135,181.257,-1.187,148.083,-3.749,8.971,1.301,3,0.174,3,81.522,0.000,0.000,78.750,3,0,15,0,15,0,21,0,0.000
"screen_liperp.csv:1311",0,0,0,0,0,4,0,-2,287.317,4.151,551.103,76.701,158.244,316.157,0.000,943.499,1.000,4.250,0.0182590,0.0077118,0.8441643,32.056,10.505,14.674,9.041,2.698,-5.153,-5.319,-5.561,312.805,-1.158,140.864,-2.938,8.753,1.265,1,0.200,3,87.403,0.000,0.000,74.049,3,0,16,0,16,0,22,0,0.002
"screen_liperp.csv:1154",0,0,0,0,0,2,1,-2,286.332,9.612,555.598,93.284,172.704,289.610,0.000,951.650,1.500,4.500,0.0970919,0.0099197,0.8421493,33.413,10.608,17.183,10.389,2.446,-5.453,-4.949,-5.467,228.114,-1.181,100.136,-3.490,8.905,1.439,2,0.245,3,83.475,0.000,0.000,78.664,3,0,17,0,12,0,22,0,0.000
"screen_liperp.csv:1158",0,0,0,0,0,3,1,-2,286.332,9.045,555.364,101.489,173.592,280.283,0.000,948.608,1.500,4.500,0.0862402,0.0099239,0.8407078,32.560,10.513,16.686,10.111,2.409,-5.286,-4.949,-5.446,223.734,-1.255,98.059,-3.443,8.292,1.527,2,0.194,3,83.109,0.000,0.000,79.779,3,0,17,0,12,0,22,0,0.001
"screen_liperp.csv:342",1,0,0,0,0,2,0,-2,298.273,6.263,544.326,88.197,163.812,256.373,35.945,912.933,1.000,3.500,0.0429605,0.0064300,0.8361127,31.546,9.556,14.573,8.371,2.830,-4.776,-4.825,-5.407,276.997,-1.031,194.375,-3.443,9.084,1.955,2,0.341,3,87.233,35.945,0.000,84.371,5,0,16,0,16,0,22,0,0.002
"screen_liperp.csv:347",1,0,0,0,0,2,0,-2,298.273,5.982,548.156,88.113,167.920,256.005,36.118,915.684,1.000,3.500,0.0390796,0.0063850,0.8319386,31.652,9.595,14.565,8.405,2.819,-4.839,-4.825,-5.472,253.227,-1.086,176.796,-3.520,9.009,1.912,2,0.347,3,86.471,36.118,0.000,85.023,5,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:1159",0,0,0,0,0,2,1,-2,286.332,6.125,561.101,105.084,176.240,279.777,0.000,954.259,1.500,4.500,0.0393076,0.0098224,0.8354140,33.423,10.568,16.374,10.360,2.423,-5.548,-4.949,-5.529,211.163,-1.241,92.117,-3.590,8.777,1.659,2,0.248,3,82.738,0.000,0.000,79.399,3,0,17,0,12,0,22,0,0.000
